epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,90.4377,0.67662,0.65049,1.10906,0.72183,0.48372,0.53227,0.29264,1.67959,2.31565,2.41919,0.000648824,0.000648824,0.000648824
69,91.7656,0.75547,0.72022,1.20865,0.51643,0.52899,0.50791,0.30985,1.59647,2.37528,2.31948,0.000646075,0.000646075,0.000646075
70,93.0708,0.64165,0.64113,1.12829,0.6112,0.47676,0.51621,0.32366,1.57766,2.31559,2.29555,0.000643326,0.000643326,0.000643326
71,94.4188,0.66401,0.59096,1.1187,0.48145,0.40384,0.45659,0.28551,1.63548,2.54137,2.327,0.000640577,0.000640577,0.000640577
72,95.7702,0.67216,0.61473,1.09798,0.63556,0.34253,0.40842,0.24727,1.64562,2.75723,2.32105,0.000637828,0.000637828,0.000637828
73,97.103,0.64981,0.58779,1.08549,0.65207,0.29364,0.37567,0.23256,1.65581,2.79323,2.32002,0.000635079,0.000635079,0.000635079
74,98.466,0.62876,0.52986,1.09995,0.50622,0.4057,0.40372,0.24947,1.74294,2.60499,2.39789,0.00063233,0.00063233,0.00063233
75,99.7827,0.59687,0.60035,1.06561,0.54747,0.38178,0.39057,0.22513,1.67703,2.70987,2.22553,0.000629581,0.000629581,0.000629581
76,101.211,0.68137,0.65743,1.1115,0.51859,0.45232,0.39039,0.24825,1.57207,2.54341,2.09419,0.000626832,0.000626832,0.000626832
77,102.55,0.65688,0.5934,1.07712,0.53399,0.46643,0.45201,0.27813,1.60906,2.56861,2.12482,0.000624084,0.000624084,0.000624084
78,103.911,0.58703,0.56235,1.07463,0.55895,0.49258,0.50784,0.29242,1.66107,2.60841,2.24577,0.000621335,0.000621335,0.000621335
79,105.274,0.64948,0.63332,1.12823,0.55341,0.5042,0.49721,0.30684,1.60922,2.63,2.27496,0.000618586,0.000618586,0.000618586
80,106.593,0.65608,0.55778,1.09324,0.54746,0.52712,0.52218,0.33085,1.55152,2.49287,2.31093,0.000615837,0.000615837,0.000615837
81,107.929,0.63803,0.58901,1.13162,0.68449,0.41875,0.49438,0.31471,1.54513,2.53954,2.3404,0.000613088,0.000613088,0.000613088
82,109.201,0.6521,0.58421,1.13272,0.5303,0.46989,0.43557,0.27636,1.57004,2.68027,2.33124,0.000610339,0.000610339,0.000610339
83,110.548,0.65493,0.60316,1.09633,0.51328,0.52047,0.43502,0.27012,1.5958,2.77639,2.33647,0.00060759,0.00060759,0.00060759
84,111.815,0.60512,0.61363,1.07705,0.63453,0.49349,0.46031,0.28245,1.59317,2.77331,2.25622,0.000604841,0.000604841,0.000604841
85,113.11,0.63895,0.63676,1.0846,0.65501,0.37328,0.41286,0.25324,1.69358,2.71278,2.31502,0.000602092,0.000602092,0.000602092
86,114.406,0.62932,0.60832,1.073,0.50881,0.41065,0.35503,0.21804,1.77276,2.80468,2.42475,0.000599343,0.000599343,0.000599343
87,115.661,0.5858,0.53517,1.04666,0.52446,0.45316,0.38714,0.22673,1.72261,2.89353,2.37356,0.000596595,0.000596595,0.000596595
88,117.003,0.58999,0.63325,1.09343,0.46953,0.37084,0.38857,0.2367,1.70356,2.89526,2.3826,0.000593846,0.000593846,0.000593846
89,118.302,0.63577,0.61556,1.08349,0.48031,0.41453,0.40633,0.22795,1.75499,2.91296,2.41768,0.000591097,0.000591097,0.000591097
90,119.651,0.58942,0.57563,1.06877,0.47142,0.51359,0.42525,0.25664,1.71445,2.93579,2.36658,0.000588348,0.000588348,0.000588348
91,120.889,0.67945,0.6166,1.13674,0.53015,0.48187,0.44209,0.25482,1.74011,3.01482,2.36503,0.000585599,0.000585599,0.000585599
92,122.159,0.62014,0.56405,1.07605,0.59066,0.49307,0.46524,0.26522,1.7519,3.00763,2.36913,0.00058285,0.00058285,0.00058285
93,123.401,0.57824,0.56617,1.05293,0.62025,0.47883,0.49758,0.28507,1.64793,2.86457,2.30217,0.000580101,0.000580101,0.000580101
94,124.658,0.56108,0.47968,1.02949,0.48566,0.53259,0.47662,0.28896,1.57975,2.82965,2.1849,0.000577352,0.000577352,0.000577352
95,125.978,0.54704,0.55237,1.06033,0.43983,0.558,0.46185,0.28506,1.61207,2.84235,2.24548,0.000574603,0.000574603,0.000574603
96,127.223,0.55369,0.50217,1.03412,0.5986,0.51171,0.49719,0.28113,1.62841,2.83546,2.26588,0.000571854,0.000571854,0.000571854
97,128.528,0.57631,0.56917,1.06969,0.50422,0.55015,0.48376,0.27392,1.61457,2.85134,2.2547,0.000569106,0.000569106,0.000569106
98,129.811,0.57807,0.52771,1.04135,0.5173,0.48162,0.48642,0.27968,1.66139,2.90569,2.35048,0.000566357,0.000566357,0.000566357
99,131.055,0.57864,0.5246,1.05751,0.46461,0.51151,0.46442,0.26542,1.69164,2.72822,2.30755,0.000563608,0.000563608,0.000563608
100,132.361,0.56317,0.49025,1.0438,0.59664,0.33463,0.46644,0.27496,1.7234,2.64039,2.32434,0.000560859,0.000560859,0.000560859
101,133.614,0.55898,0.50991,1.04402,0.57911,0.35254,0.46163,0.26641,1.70821,2.45685,2.23939,0.00055811,0.00055811,0.00055811
102,134.889,0.53088,0.50044,1.0292,0.36594,0.51623,0.44455,0.25807,1.64286,2.4813,2.17869,0.000555361,0.000555361,0.000555361
103,136.202,0.54432,0.49727,1.03818,0.45573,0.48542,0.46426,0.27541,1.69684,2.50816,2.25481,0.000552612,0.000552612,0.000552612
104,137.451,0.58808,0.50336,1.05387,0.46197,0.49771,0.47486,0.28879,1.5974,2.48447,2.20655,0.000549863,0.000549863,0.000549863
105,138.753,0.48501,0.44383,1.01956,0.58455,0.42855,0.50685,0.30315,1.65378,2.37219,2.27492,0.000547114,0.000547114,0.000547114
106,140.033,0.55787,0.51622,1.05999,0.49054,0.5344,0.49039,0.28542,1.74233,2.20495,2.45583,0.000544365,0.000544365,0.000544365
107,141.277,0.51308,0.4601,0.99987,0.57047,0.46863,0.50154,0.28649,1.80303,2.37156,2.54601,0.000541617,0.000541617,0.000541617
108,142.538,0.53676,0.50779,1.0416,0.57695,0.41459,0.50775,0.29795,1.75082,2.32962,2.46784,0.000538868,0.000538868,0.000538868
109,143.801,0.51195,0.46735,1.01252,0.48321,0.46057,0.48081,0.27577,1.69085,2.40833,2.44271,0.000536119,0.000536119,0.000536119
110,145.047,0.53799,0.48671,1.03881,0.6958,0.40301,0.48827,0.28566,1.69513,2.54285,2.37709,0.00053337,0.00053337,0.00053337
111,146.307,0.51044,0.47643,1.01832,0.53355,0.47953,0.50083,0.28835,1.74718,2.60424,2.37302,0.000530621,0.000530621,0.000530621
112,147.581,0.49165,0.51226,1.02616,0.42889,0.53776,0.49437,0.27563,1.64998,2.73169,2.27171,0.000527872,0.000527872,0.000527872
113,148.835,0.50417,0.43448,1.0534,0.49049,0.4854,0.48221,0.28197,1.64852,2.76956,2.26285,0.000525123,0.000525123,0.000525123
114,150.103,0.52336,0.4645,1.04591,0.48976,0.56996,0.50698,0.27962,1.66688,2.57008,2.3065,0.000522374,0.000522374,0.000522374
115,151.356,0.50612,0.49993,1.03254,0.43776,0.62177,0.57842,0.34212,1.68759,2.22161,2.28096,0.000519625,0.000519625,0.000519625
116,152.618,0.46791,0.4349,0.99766,0.60565,0.51461,0.58721,0.33717,1.71188,1.99338,2.36564,0.000516877,0.000516877,0.000516877
117,153.884,0.56839,0.48633,1.04099,0.53565,0.56671,0.556,0.33118,1.70452,2.02934,2.35874,0.000514128,0.000514128,0.000514128
118,155.167,0.57361,0.54217,1.09648,0.67737,0.49945,0.57235,0.3186,1.66817,2.17504,2.31689,0.000511379,0.000511379,0.000511379
119,156.401,0.53025,0.47452,1.02409,0.69672,0.491,0.56542,0.32361,1.69048,2.30821,2.34964,0.00050863,0.00050863,0.00050863
120,157.682,0.51848,0.46186,1.04226,0.67158,0.51559,0.56496,0.3281,1.64953,2.36462,2.27627,0.000505881,0.000505881,0.000505881
121,158.974,0.51033,0.44272,1.02264,0.60643,0.56817,0.59529,0.34217,1.62806,2.35076,2.27305,0.000503132,0.000503132,0.000503132
122,160.268,0.51495,0.50346,1.02632,0.57535,0.57587,0.58278,0.34063,1.65467,2.43067,2.23359,0.000500383,0.000500383,0.000500383
123,161.536,0.50091,0.44206,0.99394,0.75074,0.50895,0.58136,0.34715,1.63021,2.43617,2.19593,0.000497634,0.000497634,0.000497634
124,162.849,0.49407,0.4316,1.02969,0.64458,0.56572,0.59325,0.36689,1.56604,2.47402,2.13653,0.000494885,0.000494885,0.000494885
125,164.114,0.51003,0.45681,1.01536,0.52879,0.62775,0.61545,0.37379,1.56817,2.39939,2.1035,0.000492136,0.000492136,0.000492136
126,165.411,0.52586,0.43889,1.03178,0.59501,0.55378,0.57426,0.34908,1.6044,2.49611,2.16987,0.000489387,0.000489387,0.000489387
127,166.674,0.46414,0.42456,0.98826,0.67856,0.4954,0.54639,0.34699,1.64702,2.75678,2.22726,0.000486639,0.000486639,0.000486639
128,167.911,0.47183,0.47528,0.9803,0.64474,0.53578,0.56282,0.3415,1.6417,2.81893,2.29912,0.00048389,0.00048389,0.00048389
129,169.208,0.50912,0.43969,1.00936,0.5948,0.52314,0.53687,0.33712,1.64883,2.78397,2.33313,0.000481141,0.000481141,0.000481141
130,170.447,0.47064,0.43819,1.00871,0.68646,0.47141,0.51261,0.33116,1.66376,2.88709,2.41581,0.000478392,0.000478392,0.000478392
131,171.701,0.48822,0.42809,0.99985,0.68871,0.46826,0.46733,0.29298,1.56853,2.89685,2.37763,0.000475643,0.000475643,0.000475643
